row_type,case_index,contribution_group,source,herb_id,adr_id,feature,display_name,name_source,node_type,node_id,path_features,path_display_features,path_text,score_drop,masked_score,drop_class,case_count,occurrence_count,mean_score_drop,max_score_drop,positive_drop_count,near_zero_drop_count,negative_drop_count
aggregate,,target,,,,target:15721,Target #15721,unmapped_graph_id,target,15721,,,,,,,1,1,0.0011743903,0.0011743903,1,0,0
aggregate,,target,,,,target:15692,Target #15692,unmapped_graph_id,target,15692,,,,,,,2,2,5.19156e-05,0.0001020432,1,1,0
aggregate,,target,,,,target:1782,Target #1782,unmapped_graph_id,target,1782,,,,,,,1,1,9.59039e-05,9.59039e-05,0,1,0
aggregate,,target,,,,target:7213,Target #7213,unmapped_graph_id,target,7213,,,,,,,5,5,4.6492e-06,1.44839e-05,0,5,0
aggregate,,target,,,,target:19496,Target #19496,unmapped_graph_id,target,19496,,,,,,,1,1,7.391e-06,7.391e-06,0,1,0
aggregate,,target,,,,target:2432,Target #2432,unmapped_graph_id,target,2432,,,,,,,3,3,3.6359e-06,5.722e-06,0,3,0
aggregate,,target,,,,target:2586,Target #2586,unmapped_graph_id,target,2586,,,,,,,4,4,2.2054e-06,5.4836e-06,0,4,0
aggregate,,target,,,,target:1933,Target #1933,unmapped_graph_id,target,1933,,,,,,,1,1,5.3048e-06,5.3048e-06,0,1,0
aggregate,,target,,,,target:11486,Target #11486,unmapped_graph_id,target,11486,,,,,,,3,3,4.669e-06,5.1856e-06,0,3,0
aggregate,,target,,,,target:1774,Target #1774,unmapped_graph_id,target,1774,,,,,,,3,3,3.3776e-06,5.1856e-06,0,3,0
aggregate,,target,,,,target:13357,Target #13357,unmapped_graph_id,target,13357,,,,,,,1,1,4.8876e-06,4.8876e-06,0,1,0
aggregate,,target,,,,target:19382,Target #19382,unmapped_graph_id,target,19382,,,,,,,1,1,4.4107e-06,4.4107e-06,0,1,0
aggregate,,target,,,,target:7260,Target #7260,unmapped_graph_id,target,7260,,,,,,,1,1,2.5034e-06,2.5034e-06,0,1,0
aggregate,,target,,,,target:2146,Target #2146,unmapped_graph_id,target,2146,,,,,,,1,1,2.3842e-06,2.3842e-06,0,1,0
aggregate,,target,,,,target:469,Target #469,unmapped_graph_id,target,469,,,,,,,1,1,1.5497e-06,1.5497e-06,0,1,0
aggregate,,target,,,,target:6478,Target #6478,unmapped_graph_id,target,6478,,,,,,,1,1,1.4305e-06,1.4305e-06,0,1,0
aggregate,,target,,,,target:590,Target #590,unmapped_graph_id,target,590,,,,,,,1,1,1.3113e-06,1.3113e-06,0,1,0
aggregate,,target,,,,target:7938,Target #7938,unmapped_graph_id,target,7938,,,,,,,1,1,1.3113e-06,1.3113e-06,0,1,0
aggregate,,target,,,,target:9481,Target #9481,unmapped_graph_id,target,9481,,,,,,,1,1,1.1921e-06,1.1921e-06,0,1,0
aggregate,,target,,,,target:19336,Target #19336,unmapped_graph_id,target,19336,,,,,,,5,5,5.841e-07,1.1921e-06,0,5,0
aggregate,,target,,,,target:13438,Target #13438,unmapped_graph_id,target,13438,,,,,,,2,2,4.769e-07,1.1921e-06,0,2,0
aggregate,,target,,,,target:12639,Target #12639,unmapped_graph_id,target,12639,,,,,,,1,1,8.345e-07,8.345e-07,0,1,0
aggregate,,target,,,,target:20703,Target #20703,unmapped_graph_id,target,20703,,,,,,,1,1,8.345e-07,8.345e-07,0,1,0
aggregate,,target,,,,target:5720,Target #5720,unmapped_graph_id,target,5720,,,,,,,1,1,5.96e-07,5.96e-07,0,1,0
aggregate,,target,,,,target:20366,Target #20366,unmapped_graph_id,target,20366,,,,,,,1,1,3.576e-07,3.576e-07,0,1,0
aggregate,,target,,,,target:974,Target #974,unmapped_graph_id,target,974,,,,,,,1,1,3.576e-07,3.576e-07,0,1,0
aggregate,,target,,,,target:2197,Target #2197,unmapped_graph_id,target,2197,,,,,,,1,1,2.384e-07,2.384e-07,0,1,0
aggregate,,target,,,,target:7802,Target #7802,unmapped_graph_id,target,7802,,,,,,,2,2,-1.192e-07,2.384e-07,0,2,0
aggregate,,target,,,,target:10658,Target #10658,unmapped_graph_id,target,10658,,,,,,,1,1,1.192e-07,1.192e-07,0,1,0
aggregate,,target,,,,target:17098,Target #17098,unmapped_graph_id,target,17098,,,,,,,1,1,1.192e-07,1.192e-07,0,1,0
aggregate,,target,,,,target:18046,Target #18046,unmapped_graph_id,target,18046,,,,,,,1,1,0.0,0.0,0,1,0
aggregate,,target,,,,target:19817,Target #19817,unmapped_graph_id,target,19817,,,,,,,1,1,0.0,0.0,0,1,0
aggregate,,target,,,,target:5663,Target #5663,unmapped_graph_id,target,5663,,,,,,,1,1,0.0,0.0,0,1,0
aggregate,,target,,,,target:7684,Target #7684,unmapped_graph_id,target,7684,,,,,,,1,1,0.0,0.0,0,1,0
aggregate,,target,,,,target:9880,Target #9880,unmapped_graph_id,target,9880,,,,,,,1,1,0.0,0.0,0,1,0
aggregate,,target,,,,target:14492,Target #14492,unmapped_graph_id,target,14492,,,,,,,1,1,-1.192e-07,-1.192e-07,0,1,0
aggregate,,target,,,,target:4,Target #4,unmapped_graph_id,target,4,,,,,,,1,1,-1.192e-07,-1.192e-07,0,1,0
aggregate,,target,,,,target:6814,Target #6814,unmapped_graph_id,target,6814,,,,,,,1,1,-1.192e-07,-1.192e-07,0,1,0
aggregate,,target,,,,target:2606,Target #2606,unmapped_graph_id,target,2606,,,,,,,1,1,-3.576e-07,-3.576e-07,0,1,0
aggregate,,component,,,,compound:761,Compound #761,unmapped_graph_id,compound,761,,,,,,,3,3,0.0003090699,0.0003184676,3,0,0
aggregate,,component,,,,compound:821,Compound #821,unmapped_graph_id,compound,821,,,,,,,4,4,0.0002468973,0.0003134012,4,0,0
aggregate,,component,,,,compound:480,Compound #480,unmapped_graph_id,compound,480,,,,,,,5,5,3.44515e-05,4.08292e-05,0,5,0
